lab_method_name,lab_type,lab_csv_header,r-Modus_Soil_Test_v1,r-Modus_Soil_Test_v2,r-Analyte,f-Analyte,r-Extraction_Method,f-Extraction_Method,r-Measurement_Method,f-Measurement_Method,r-Unit_of_Measurement,f-Unit_of_Measurement_Default,r-Unit_of_Measurement_Alt,f-Unit_of_Measurement_Alt,r-UCUM_Unit_String-Unit_of_Measurement_Default,f-UCUM_Unit_String_Default,r-UCUM_Unit_String-Unit_of_Measurement_Alt,f-UCUM_Unit_String_Alt,lu-Modus_Soil_Test_v1-r-Modus_Soil_Test_v2,notes,internal_status,r-Lab,lu-lab_name-r-Lab,lu-modus_id-r-Modus_Soil_Test_v1,lu-modus_id-r-Modus_Soil_Test_v2,lu-unit_of_measurement_name-r-Unit_of_Measurement_Alt,lu-Modus_Soil_Test_v2-r-Modus_Soil_Test_v1,example_test_result
Zn — Zinc,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgLab Express - Sioux Falls, SD""","AgLab Express - Sioux Falls, SD",,,,,
Active Lime,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Available Calcium,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Available K,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Available Magnesium,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Available Na,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
"Available Phosphorus (Olsen, Bray (pH 6))",Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Boron,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
C/N Ratio,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Ca,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Cation Exchange Capacity (CEC) - statistical,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Clay Tests,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Copper (DTPA),Soil,,S-CU-DTPA.05,L_MODV2_SOIL_CU_002,Copper,Copper,DTPA,DTPA,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-CU-DTPA.05,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",S-CU-DTPA.05,L_MODV2_SOIL_CU_002,,L_MODV2_SOIL_CU_002,
Electrical Conductivity (1:5),Soil,,S-EC-1:5.03,L_MODV2_SOIL_EC_003,Electrical Conductivity,Electrical Conductivity,EC Slurry,EC Slurry,Electrical Conductivity,Electrical Conductivity,dS/m,dS/m,,mmho/cm,dS/m,dS/m,,"dS/m, mmho/cm, meq/(100.g), cmol/kg",S-EC-1:5.03,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",S-EC-1:5.03,L_MODV2_SOIL_EC_003,,L_MODV2_SOIL_EC_003,
Exchangeable Aluminum,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Exchangeable Calcium,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Exchangeable Magnesium,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Exchangeable Na,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Exchangeable Potassium,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Iron (DTPA),Soil,,S-FE-DTPA.05,L_MODV2_SOIL_FE_003,Iron,Iron,DTPA,DTPA,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-FE-DTPA.05,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",S-FE-DTPA.05,L_MODV2_SOIL_FE_003,,L_MODV2_SOIL_FE_003,
K,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
KCl Exchangeable Acidity,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Lime Tests,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Manganese (DTPA),Soil,,S-MN-DTPA.05,L_MODV2_SOIL_MN_002,Manganese,Manganese,DTPA,DTPA,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-MN-DTPA.05,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",S-MN-DTPA.05,L_MODV2_SOIL_MN_002,,L_MODV2_SOIL_MN_002,
Mg,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
"Microelements (B, Zn, Cu, Mn)",Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Organic Matter,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
pH (1:2.5 Extract),Soil,,S-PH-1:2.5.02.07,L_MODV2_SOIL_PH_007,pH,pH,Slurry,Slurry,H+ ISE,H+ ISE,standard pH unit,standard pH unit,,"standard units, s.u., none",,,,,S-PH-1:2.5.02.07,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",S-PH-1:2.5.02.07,L_MODV2_SOIL_PH_007,,L_MODV2_SOIL_PH_007,
pH (2.5),Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Sand Tests,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Texture,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Texture Classification,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Total Nitrogen,Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Total Nitrogen (Dumas),Soil,,,,,,,,,,,,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",,,,,
Zinc (DTPA),Soil,,S-ZN-DTPA.05,L_MODV2_SOIL_ZN_002,Zinc,Zinc,DTPA,DTPA,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-ZN-DTPA.05,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA",S-ZN-DTPA.05,L_MODV2_SOIL_ZN_002,,L_MODV2_SOIL_ZN_002,
BORON (B),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
Buffer pH,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
CALCIUM (Ca),Soil,,,,,,,,,,,,,,,,,,,Ammonium Acetate,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
CEC,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
MAGNESIUM (Mg),Soil,,,,,,,,,,,,,,,,,,,Ammonium Acetate,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
MANGANESE (Mn),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
Organic Matter (OM),Soil,,,,,,,,,,,,,,,,,,,Estimated,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
PHOSPHORUS (P1),Soil,,,,,,,,,,,,,,,,,,,Bray 1 Equivalent,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
POTASSIUM (K),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
PSNT (Pre-Sidedress Nitrogen Test),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
Soil pH,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
SULFUR (S),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
ZINC (Zn),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN",,,,,
1:1 pH,Soil,1:1 pH,,,pH,pH,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
B,Soil,B,,,Boron,Boron,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
B REC,Soil,B REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
Bray P,Soil,Bray P,,,Phosphorus,Phosphorus,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
CA,Soil,CA,,,Calcium,Calcium,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
CaCl2 pH,Soil,CaCl2 pH,,,pH,pH,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
CEC,Soil,CEC,,,Cation Exchange Capacity,Cation Exchange Capacity,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
Cl,Soil,Cl,,,Chloride,Chloride,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
Cl REC,Soil,Cl REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
CU,Soil,CU,,,Copper,Copper,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
CU REC,Soil,CU REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
EFF,Soil,EFF,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
ELEMS REC,Soil,ELEMS REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
ENR,Soil,ENR,,,Estimated Nitrogen Release,Estimated Nitrogen Release,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
FE,Soil,FE,,,Iron,Iron,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
FE REC,Soil,FE REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
gypsum,Soil,gypsum,,,Gypsum Recommendation,Gypsum Recommendation,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
HYD,Soil,HYD,,,Hydrogen,Hydrogen,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
K,Soil,K,,,Potassium,Potassium,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
K2O5 REC,Soil,K2O5 REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
KCL ext Al,Soil,KCL ext Al,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
LIME,Soil,LIME,,,Lime Index,Lime Index,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
LIME 6:5,Soil,LIME 6:5,,,Lime Index,Lime Index,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
Manure,Soil,Manure,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
MG,Soil,MG,,,Magnesium,Magnesium,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
MG REC,Soil,MG REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
MN,Soil,MN,,,Manganese,Manganese,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
MN REC,Soil,MN REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
Moisture,Soil,Moisture,,,Moisture,Moisture,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
N REC,Soil,N REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
NA,Soil,NA,,,Sodium,Sodium,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
NH4-N,Soil,NH4-N,,,ammonium,ammonium,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
NO31,Soil,NO31,,,nitrate,nitrate,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
NO32,Soil,NO32,,,nitrate,nitrate,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
Olsen P,Soil,Olsen P,,,Phosphorus,Phosphorus,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
OM,Soil,OM,,,Organic Matter,Organic Matter,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
OTHER P,Soil,OTHER P,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
P2O5 REC,Soil,P2O5 REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
PERCA,Soil,PERCA,,,Base Saturation - Ca,Base Saturation - Ca,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
PERH,Soil,PERH,,,Base Saturation - H,Base Saturation - H,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
PERK,Soil,PERK,,,Base Saturation - K,Base Saturation - K,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
PERMG,Soil,PERMG,,,Base Saturation - Mg,Base Saturation - Mg,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
PERNA,Soil,PERNA,,,Base Saturation - Na,Base Saturation - Na,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
S,Soil,S,,,Sulfur,Sulfur,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
S REC,Soil,S REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
SMP/A&E,Soil,SMP/A&E,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
SOLSALT,Soil,SOLSALT,,,Soluble Salts,Soluble Salts,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
Yield Goal Units,Soil,Yield Goal Units,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
ZN,Soil,ZN,,,Zinc,Zinc,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
ZN REC,Soil,ZN REC,,,,,,,,,,,,,,,,,,,,Agrimanagement Inc.,Agrimanagement Inc.,,,,,
 Boron (ppm B),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
% sand,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
% silt,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
% silt,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Aluminum (ppm Al),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Ammonium (NH4-N),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Buffer pH,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Calcium (ppm Ca),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Cation base saturations,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Cation exchange capacity/sum of the cations (meq/100g),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Copper (ppm Cu),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
dissolved phosphorus,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Iron (ppm Fe),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Magnesium (ppm Mg),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Manganese (ppm Mn),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Mehlich III nutrients,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Modified Morgan extraction,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Nitrate (NO3-N),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Organic matter (%),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
particle size separation % passing,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
particle size separation % retained,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Phosphorus (ppm P),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Phosphorus Saturation Ratio,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Potassium (ppm K),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
saturated paste,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Sodium (ppm Na),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Soil pH,Soil,,S-PH-1:1.02.07,L_MODV2_SOIL_PH_005,pH,pH,Slurry,Slurry,H+ ISE,H+ ISE,standard pH unit,standard pH unit,,"standard units, s.u., none",,,,,S-PH-1:1.02.07,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",S-PH-1:1.02.07,L_MODV2_SOIL_PH_005,,L_MODV2_SOIL_PH_005,
Soluble Salts (mmho/cm),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Solvita soil health,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Sulfur (ppm SO4-S),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Total N,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
total P,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
USDA soil classification,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
water extraction,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
Zinc (ppm Zn),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE",,,,,
ammonia,,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Fertilizer Recommendations,,,,,,,,,,,,,,,,,,,,,predicted or scored value,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Haney H3A Extraction: Aluminum,,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Haney H3A Extraction: Calcium,,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Haney H3A Extraction: Iron,,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Haney H3A Extraction: Orthophosphate-P,,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Haney H3A Extraction: Phosphorus,,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Haney H3A Extraction: Potassium,,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Soluble Nutrients,,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Traces,,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Ammoniacal-N,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
boron,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Buffer Index,Soil,,,,,,,,,,,,,,,,,,,same as Buffer pH?,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
C:N Ratio,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
calcium,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Carbon,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
CEC,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
CO2 Respiration,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
copper,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
excess carbonate,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
iron,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Late Spring/Pre-Sidedress Nitrate Testing,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
magnesium,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
manganese,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
nitrate,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
Nitrate-N,Soil,,,,,,,,,,,,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE",,,,,
