lab_method_name,csv_header,lab_Soil_Item,Modus_Soil_Item,lab_Extraction_Method,Modus_Extraction_Method,lab_Measurement_Method,Modus_Measurement_Method,lab_Unit_of_Measurement_Default,Modus_Unit_of_Measurement_Default,lab_Unit_of_Measurement_Default_Alt,Modus_Unit_of_Measurement_Alt,Lab,lab_name,Modus_Soil_Test
Soil pH,PH,pH,pH,,Saturated Paste,,H+ ISE,,standard units,,"standard units,s.u.,none","""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-PH-SP.02
K,K,Potassium,Potassium,,Ammonium Acetate,,"""ICP, AAS""",,mg/kg,,"mg/kg,ppm,meq/100 g,cmol/kg,lb/ac,kg/ha","""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-K-NH4AC.05
Mg,MG,Magnesium,Magnesium,,Ammonium Acetate,,"""ICP, AAS""",,mg/kg,,"mg/kg,ppm,meq/100 g,cmol/kg,lb/ac,kg/ha","""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-MG-NH4AC.05
Na,NA,Sodium,Sodium,,Ammonium Acetate,,"""ICP, AAS""",,mg/kg,,"mg/kg,ppm,meq/100 g,cmol/kg,lb/ac,kg/ha","""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-NA-NH4AC.05
NO3-N,NO3-N,Nitrate-Nitrogen,Nitrate-Nitrogen,,1:5 2.0 N KCl ,,Cd Red/Spectrophotometric,,mg/kg,,"mg/kg,ppm,lb/ac,kg/ha","""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-NO3-1:5.01.01
SO4-S,SO4-S,Sulfate-Sulfur,Sulfur,,Ammonium Acetate,,ICP,,mg/kg,,"mg/kg,ppm,lb/ac,kg/ha","""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-S-NH4AC.05
Buffer pH,BUFFER_PH,Buffer pH,Buffer pH,,Sikora 1 buffer,,H+ ISE,,none,,none,"""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-BPH-SIK1.02
H,H,Hydrogen,,,,,,,,,,"""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",
PERCENT CATION SATURATION (COMPUTED),SAT_PCT,Saturation Paste %,Saturation Paste %,,Balance,,Calculated,,%,,%,"""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-SP%.19
ENR,ENR,Estimated Nitrogen Release,Estimated Nitrogen Release,,Saturated Paste,,Calculated,,ppm,,"ppm,lb,lb/ac,kg/ha","""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-ENR.19
Exchangeable Sodium Percentage,ESP,Exchangeable Sodium Percentage,Exchangeable Sodium Percentage,,1.0 M KCl,,Calculated,,%,,%,"""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-ESP.19
CO3,CO3,Carbonate,Carbonate,,Saturated Paste,,Titration,,meq/L,,"meq/L,mg/L,ppm","""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",S-CO3-SP.12
Aluminum,AL,Aluminum,,,,,,,,,,"""A&L Western Agricultural Labs - Modesto, CA""","A&L Western Agricultural Labs - Modesto, CA",
